sample,condition,salmon_num_mapped,salmon_pct_mapped,hisat2_overall,hisat2_multimap_pct
B10_S1,black_light,8107279,80.58,97.45,2.17
B11_S2,black_light,7632966,82.63,97.53,0.53
B12_S3,black_light,4954118,55.18,97.35,30.0
D10_S4,dark_light,7131175,82.61,97.68,1.21
D11_S5,dark_light,6786282,83.27,97.89,1.81
D12_S6,dark_light,5926489,81.92,97.82,1.6
H13_S7,high_light,7946679,81.13,97.48,0.67
H14_S8,high_light,6616120,83.11,97.55,0.56
H15_S9,high_light,6429354,81.24,97.74,1.48
L13_S10,low_light,9368955,85.21,97.7,0.53
L14_S11,low_light,6498815,85.3,97.74,0.49
L15_S12,low_light,5956603,84.14,97.81,1.18
