sample,read_pairs,overall_aln_pct,conc_unique,conc_multi,multimap_pct
B10_S1,10060800,97.43,8826501,218123,2.17
B11_S2,9237317,97.51,7951200,48647,0.53
B12_S3,8978627,97.34,5635918,2693702,30.0
D10_S4,8632516,97.65,7808334,103842,1.2
D11_S5,8149343,97.86,7366632,146172,1.79
D12_S6,7234599,97.8,6508462,115897,1.6
H13_S7,9794479,97.45,8784034,65642,0.67
H14_S8,7960221,97.52,7115588,44781,0.56
H15_S9,7914040,97.71,6964357,116744,1.48
L13_S10,10995608,97.67,9675005,56399,0.51
L14_S11,7619128,97.71,6599320,34158,0.45
L15_S12,7079341,97.79,6321060,82667,1.17
